scheme,numNodes,areaWidth,areaHeight,simTime,dataRateKbps,packetSize,sinkVelocity,rngRun,gaBestFitness,packetsGenerated,packetsBufferedSent,packetsSent,packetsReceived,bufferOverflowDrops,pdrPercent,throughputKbps,avgDelaySec,totalEnergyConsumedJ,minRemainingEnergyJ,fndTimeSec,hndTimeSec,lndTimeSec,avgTurningAngleDeg,processingTimeMs,arpL3Drops,arpCacheDrops,noPathLastRound,hopCapExceededDrops,chContactCount,tourTimeSec
DGA-M,200,1000,1000,604.491,250,512,10,5,0.384035,12178,9588,10258,4,474,0.0328461,0.0271038,0.986798,1.93942,0.473881,-1,-1,-1,103.817,4,0,0,180,1979,19,103.619
CGAPD,200,1000,1000,604.491,250,512,10,5,0,12178,9749,10435,50,438,0.410576,0.338797,122.655,1.94689,0.473313,-1,-1,-1,60.5522,0,0,0,166,1943,24,314.28
IAGAPC-Enhanced,200,1000,1000,604.491,250,512,10,6,0.608377,12179,9004,9504,5,585,0.0410543,0.0338797,1.55179,1.9578,0.481258,-1,-1,-1,24.4224,8,0,0,188,1912,27,277.817
AGAPC,200,1000,1000,604.491,250,512,10,6,0.374902,12179,8994,9550,9,573,0.0738977,0.0609835,38.2469,1.95888,0.481346,-1,-1,-1,94.2116,4,0,0,187,1918,24,115.597
EGATS-N,200,1000,1000,604.491,250,512,10,6,0.392713,12179,9011,9513,1,580,0.00821085,0.00677594,0.00552622,1.94874,0.480859,-1,-1,-1,77.29,4,0,0,154,1912,19,104.105
RCGA-ABC,200,1000,1000,604.491,250,512,10,6,0.378803,12179,8993,9521,4,596,0.0328434,0.0271038,0.00552613,1.94288,0.482658,-1,-1,-1,122.163,6,0,0,170,1882,14,36.4665
DGA-M,200,1000,1000,604.491,250,512,10,6,0.393703,12179,9202,9716,57,556,0.468019,0.386229,69.1861,1.97883,0.481846,-1,-1,-1,79.2287,4,0,0,199,1959,20,105.365
CGAPD,200,1000,1000,604.491,250,512,10,6,0,12179,9052,9638,22,569,0.180639,0.149071,92.2859,1.97673,0.482095,-1,-1,-1,60.7147,0,0,0,190,1894,18,264.783
IAGAPC-Enhanced,200,1000,1000,604.491,250,512,10,7,0.584926,12175,9585,10399,9,475,0.073922,0.0609835,3.9936,2.00989,0.482089,-1,-1,-1,25.9039,8,0,0,183,2206,20,223.3
AGAPC,200,1000,1000,604.491,250,512,10,7,0.352529,12175,9527,10285,19,493,0.156057,0.128743,60.8291,1.99334,0.48304,-1,-1,-1,67.4222,4,0,0,187,2195,12,155.561
EGATS-N,200,1000,1000,604.491,250,512,10,7,0.373037,12175,9555,10329,8,489,0.0657084,0.0542075,16.2632,1.99873,0.483108,-1,-1,-1,68.8109,4,0,0,180,2221,22,91.3027
RCGA-ABC,200,1000,1000,604.491,250,512,10,7,0.364212,12175,9561,10305,3,501,0.0246407,0.0203278,0.00552629,2.0172,0.48359,-1,-1,-1,97.1919,5,0,0,194,2227,16,86.8887
DGA-M,200,1000,1000,604.491,250,512,10,7,0.372119,12175,9553,10373,9,473,0.073922,0.0609835,0.846216,2.00185,0.483441,-1,-1,-1,103.907,4,0,0,181,2229,23,100.223
CGAPD,200,1000,1000,604.491,250,512,10,7,0,12175,9469,10277,1,497,0.00821355,0.00677594,0.00552622,1.9972,0.482899,-1,-1,-1,74.3443,0,0,0,194,2191,22,283.565
IAGAPC-Enhanced,200,1000,1000,604.491,250,512,10,8,0.605999,12170,9678,10076,10,480,0.0821693,0.0677594,1.65104,2.00574,0.478673,-1,-1,-1,24.3874,8,0,0,185,2223,16,144.922
AGAPC,200,1000,1000,604.491,250,512,10,8,0.395581,12170,9738,10076,4,464,0.0328677,0.0271038,0.255526,1.99563,0.480356,-1,-1,-1,81.5443,4,0,0,179,2269,21,72.9308
EGATS-N,200,1000,1000,604.491,250,512,10,8,0.405824,12170,9763,10123,10,460,0.0821693,0.0677594,1.71496,1.99158,0.480363,-1,-1,-1,78.718,4,0,0,175,2269,16,57.2206
RCGA-ABC,200,1000,1000,604.491,250,512,10,8,0.364302,12170,9706,10066,7,465,0.0575185,0.0474316,3.43738,1.98252,0.479294,-1,-1,-1,128.088,5,0,0,195,2237,12,55.0655
DGA-M,200,1000,1000,604.491,250,512,10,8,0.391617,12170,9696,10082,4,469,0.0328677,0.0271038,0.00552629,2.01018,0.480836,-1,-1,-1,70.9473,4,0,0,185,2280,22,65.0717
CGAPD,200,1000,1000,604.491,250,512,10,8,0,12170,9746,10110,0,461,0,0,0,1.99588,0.480028,-1,-1,-1,75.7939,0,0,0,174,2274,19,282.026
IAGAPC-Enhanced,200,1000,1000,604.491,250,512,10,9,0.588559,12182,9319,9959,5,548,0.0410442,0.0338797,0.805526,2.11936,0.479952,-1,-1,-1,22.1929,8,0,0,184,2941,24,206.49
AGAPC,200,1000,1000,604.491,250,512,10,9,0.384577,12182,9343,9957,2,540,0.0164177,0.0135519,0.00552628,2.10991,0.478498,-1,-1,-1,110.848,4,0,0,171,2955,12,61.8811
