scheme,numNodes,areaWidth,areaHeight,simTime,dataRateKbps,packetSize,sinkVelocity,rngRun,gaBestFitness,packetsGenerated,packetsBufferedSent,packetsSent,packetsReceived,bufferOverflowDrops,pdrPercent,throughputKbps,avgDelaySec,totalEnergyConsumedJ,minRemainingEnergyJ,fndTimeSec,hndTimeSec,lndTimeSec,avgTurningAngleDeg,processingTimeMs,arpL3Drops,arpCacheDrops,noPathLastRound,hopCapExceededDrops,chContactCount,tourTimeSec
EGATS-N,200,1000,1000,604.491,250,512,10,6,0.392713,12179,0,0,0,2098,0,0,0,1.81348,0.490933,-1,-1,-1,77.29,4,0,0,154,0,0,104.105
RCGA-ABC,200,1000,1000,604.491,250,512,10,6,0.378803,12179,0,0,0,2109,0,0,0,1.81348,0.490933,-1,-1,-1,122.163,5,0,0,170,0,0,36.4665
DGA-M,200,1000,1000,604.491,250,512,10,6,0.393703,12179,0,0,0,2112,0,0,0,1.81348,0.490933,-1,-1,-1,79.2287,4,0,0,193,0,0,105.365
CGAPD,200,1000,1000,604.491,250,512,10,6,0,12179,0,0,0,2107,0,0,0,1.81348,0.490933,-1,-1,-1,60.7147,0,0,0,190,0,0,264.783
IAGAPC-Enhanced,200,1000,1000,604.491,250,512,10,7,0.584926,12175,0,0,0,2083,0,0,0,1.81348,0.490933,-1,-1,-1,25.9039,8,0,0,183,0,0,223.3
AGAPC,200,1000,1000,604.491,250,512,10,7,0.352529,12175,0,0,0,2114,0,0,0,1.81348,0.490933,-1,-1,-1,67.4222,4,0,0,187,0,0,155.561
EGATS-N,200,1000,1000,604.491,250,512,10,7,0.373037,12175,0,0,0,2089,0,0,0,1.81348,0.490933,-1,-1,-1,68.8109,4,0,0,180,0,0,91.3027
RCGA-ABC,200,1000,1000,604.491,250,512,10,7,0.364212,12175,0,0,0,2092,0,0,0,1.81348,0.490933,-1,-1,-1,97.1919,5,0,0,194,0,0,86.8887
DGA-M,200,1000,1000,604.491,250,512,10,7,0.372119,12175,0,0,0,2107,0,0,0,1.81348,0.490933,-1,-1,-1,103.907,4,0,0,181,0,0,100.223
CGAPD,200,1000,1000,604.491,250,512,10,7,0,12175,0,0,0,2101,0,0,0,1.81348,0.490933,-1,-1,-1,74.3443,0,0,0,194,0,0,283.565
IAGAPC-Enhanced,200,1000,1000,604.491,250,512,10,8,0.605999,12170,0,0,0,2089,0,0,0,1.81348,0.490933,-1,-1,-1,24.3874,8,0,0,185,0,0,144.922
AGAPC,200,1000,1000,604.491,250,512,10,8,0.395581,12170,0,0,0,2110,0,0,0,1.81348,0.490933,-1,-1,-1,81.5443,4,0,0,179,0,0,72.9308
EGATS-N,200,1000,1000,604.491,250,512,10,8,0.405824,12170,0,0,0,2084,0,0,0,1.81348,0.490933,-1,-1,-1,78.718,4,0,0,175,0,0,57.2206
RCGA-ABC,200,1000,1000,604.491,250,512,10,8,0.364302,12170,0,0,0,2110,0,0,0,1.81348,0.490933,-1,-1,-1,128.088,5,0,0,195,0,0,55.0655
DGA-M,200,1000,1000,604.491,250,512,10,8,0.391617,12170,0,0,0,2102,0,0,0,1.81348,0.490933,-1,-1,-1,70.9473,4,0,0,185,0,0,65.0717
CGAPD,200,1000,1000,604.491,250,512,10,8,0,12170,0,0,0,2092,0,0,0,1.81348,0.490933,-1,-1,-1,75.7939,0,0,0,174,0,0,282.026
IAGAPC-Enhanced,200,1000,1000,604.491,250,512,10,9,0.588559,12182,0,0,0,2111,0,0,0,1.81348,0.490933,-1,-1,-1,22.1929,8,0,0,184,0,0,206.49
AGAPC,200,1000,1000,604.491,250,512,10,9,0.384577,12182,0,0,0,2105,0,0,0,1.81348,0.490933,-1,-1,-1,110.848,4,0,0,175,0,0,61.8811
EGATS-N,200,1000,1000,604.491,250,512,10,9,0.405419,12182,0,0,0,2114,0,0,0,1.81348,0.490933,-1,-1,-1,94.2303,4,0,0,189,0,0,80.6774
RCGA-ABC,200,1000,1000,604.491,250,512,10,9,0.368674,12182,0,0,0,2110,0,0,0,1.81348,0.490933,-1,-1,-1,123.475,5,0,0,183,0,0,56.6977
DGA-M,200,1000,1000,604.491,250,512,10,9,0.354034,12182,0,0,0,2117,0,0,0,1.81348,0.490933,-1,-1,-1,97.3631,4,0,0,189,0,0,164.159
CGAPD,200,1000,1000,604.491,250,512,10,9,0,12182,0,0,0,2115,0,0,0,1.81348,0.490933,-1,-1,-1,95.6573,0,0,0,186,0,0,319.275
IAGAPC-Enhanced,200,1000,1000,604.491,250,512,10,10,0.58858,12174,0,0,0,2095,0,0,0,1.81348,0.490933,-1,-1,-1,24.0789,8,0,0,165,0,0,238.404
AGAPC,200,1000,1000,604.491,250,512,10,10,0.402936,12174,0,0,0,2097,0,0,0,1.81348,0.490933,-1,-1,-1,115.498,4,0,0,159,0,0,106.03
EGATS-N,200,1000,1000,604.491,250,512,10,10,0.409076,12174,0,0,0,2111,0,0,0,1.81348,0.490933,-1,-1,-1,106.607,4,0,0,173,0,0,64.5091
RCGA-ABC,200,1000,1000,604.491,250,512,10,10,0.362059,12174,0,0,0,2108,0,0,0,1.81348,0.490933,-1,-1,-1,111.006,5,0,0,170,0,0,147.643
DGA-M,200,1000,1000,604.491,250,512,10,10,0.395683,12174,0,0,0,2098,0,0,0,1.81348,0.490933,-1,-1,-1,101.959,4,0,0,199,0,0,93.8384
CGAPD,200,1000,1000,604.491,250,512,10,10,0,12174,0,0,0,2094,0,0,0,1.81348,0.490933,-1,-1,-1,69.2924,0,0,0,154,0,0,273.265
